2021-04-29 09:38:30  BParking_Bd_JpsiKst_SoftQCDnonD_scale5_TuneCP5_HELAMP  st_seed=10001  n_ev=50000  n_jobs=10000  maxtime=14h  PU=c2
2021-09-22 04:09:09  BParking_Tag_Bu_DstDuX_SoftQCDnonD_scale5_TuneCP5  st_seed=1  n_ev=200000  n_jobs=10000  maxtime=15h  PU=c2
2021-09-23 01:39:11  BParking_Tag_Bu_DstDuX_SoftQCDnonD_scale5_TuneCP5  st_seed=1  n_ev=400000  n_jobs=10000  maxtime=18h  PU=c2
2021-09-23 02:42:02  BParking_Tag_Bu_DstDdX_SoftQCDnonD_scale5_TuneCP5  st_seed=1  n_ev=300000  n_jobs=10000  maxtime=18h  PU=c2
2021-09-24 02:41:37  BParking_Tag_Bu_DstDdX_SoftQCDnonD_scale5_TuneCP5  st_seed=10001  n_ev=300000  n_jobs=10000  maxtime=18h  PU=c2
2021-10-01 18:34:23  BParking_Tag_Bd_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=1  n_ev=150000  n_jobs=10000  maxtime=18h  PU=c2
2021-10-01 18:36:08  BParking_Tag_Bu_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=1  n_ev=150000  n_jobs=10000  maxtime=18h  PU=c2
2021-10-04 09:57:01  BParking_Tag_Bd_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=1  n_ev=100000  n_jobs=10000  maxtime=18h  PU=c2
2021-10-05 12:31:47  BParking_Tag_Bd_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=1  n_ev=10000  n_jobs=100  maxtime=8h  PU=c2
2021-10-05 13:44:56  BParking_Tag_Bd_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=1  n_ev=5000  n_jobs=20  maxtime=8h  PU=c2
2021-10-05 14:49:46  BParking_Tag_Bd_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=1  n_ev=100000  n_jobs=10000  maxtime=18h  PU=c2
2021-10-07 13:54:47  BParking_Tag_Bd_TauNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=100000  n_ev=150000  n_jobs=5000  maxtime=24h  PU=c2
2021-10-07 13:55:35  BParking_Tag_Bu_TauNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=200000  n_ev=150000  n_jobs=5000  maxtime=18h  PU=c2
2021-10-07 13:58:15  BParking_Tag_Bu_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=50000  n_ev=100000  n_jobs=10000  maxtime=18h  PU=c2
2021-10-07 13:58:44  BParking_Tag_Bd_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2  st_seed=10001  n_ev=100000  n_jobs=10000  maxtime=18h  PU=c2
2021-11-23 17:14:21  BParking_Tag_DstKu_KutoMu_SoftQCDnonD_scale5_TuneCP5  st_seed=1  n_ev=400000  n_jobs=10000  maxtime=12h  PU=c2
2021-11-23 17:20:17  BParking_Tag_DstKu_KutoMu_SoftQCDnonD_scale5_TuneCP5  st_seed=1  n_ev=400000  n_jobs=10000  maxtime=12h  PU=c2
2021-11-23 22:19:42  BParking_Tag_Bd_MuNuDstst_PiPi_SoftQCDnonD_scale5_TuneCP5_ISGW2_v2  st_seed=10001  n_ev=150000  n_jobs=10000  maxtime=18h  PU=c2
2022-01-21 20:48:44  BParking_Tag_Bd_MuNuDstPiPi_SoftQCDnonD_scale5_TuneCP5  st_seed=10001  n_ev=150000  n_jobs=10000  maxtime=18h  PU=c2
2022-01-21 20:49:51  BParking_Tag_Bd_MuNuDstPiPi_SoftQCDnonD_scale5_TuneCP5  st_seed=10001  n_ev=150000  n_jobs=10000  maxtime=18h  PU=c2
2022-02-01 18:20:24  BParking_Tag_Bu_MuNuDstPiPi_SoftQCDnonD_scale5_TuneCP5  st_seed=100000  n_ev=150000  n_jobs=10000  maxtime=18h  PU=c2
2022-02-04 11:59:49  BParking_Tag_Bd_MuNuDstPiPi_SoftQCDnonD_scale5_TuneCP5  st_seed=20001  n_ev=200000  n_jobs=10000  maxtime=18h  PU=c2
